frame,time_s,preview_visible,float_found,tip_y,cx,cy,area
2640,44.061,0,0,0,0,0,0
2646,44.161,0,0,0,0,0,0
2652,44.261,0,0,0,0,0,0
2658,44.361,0,0,0,0,0,0
2664,44.461,0,0,0,0,0,0
2670,44.562,0,0,0,0,0,0
2676,44.662,0,0,0,0,0,0
2682,44.762,0,0,0,0,0,0
2688,44.862,0,0,0,0,0,0
2694,44.962,0,0,0,0,0,0
2700,45.062,0,0,0,0,0,0
2706,45.162,0,0,0,0,0,0
2712,45.262,0,0,0,0,0,0
2718,45.363,0,0,0,0,0,0
2724,45.463,0,0,0,0,0,0
2730,45.563,0,0,0,0,0,0
2736,45.663,0,0,0,0,0,0
2742,45.763,0,0,0,0,0,0
2748,45.863,0,0,0,0,0,0
2754,45.963,0,0,0,0,0,0
2760,46.064,0,0,0,0,0,0
2766,46.164,0,0,0,0,0,0
2772,46.264,0,0,0,0,0,0
2778,46.364,0,0,0,0,0,0
2784,46.464,0,0,0,0,0,0
2790,46.564,0,0,0,0,0,0
2796,46.664,0,0,0,0,0,0
2802,46.765,0,0,0,0,0,0
2808,46.865,0,0,0,0,0,0
2814,46.965,0,0,0,0,0,0
2820,47.065,0,0,0,0,0,0
2826,47.165,0,0,0,0,0,0
2832,47.265,0,0,0,0,0,0
2838,47.365,0,0,0,0,0,0
2844,47.466,0,0,0,0,0,0
2850,47.566,0,0,0,0,0,0
2856,47.666,0,0,0,0,0,0
2862,47.766,0,0,0,0,0,0
2868,47.866,0,0,0,0,0,0
2874,47.966,0,0,0,0,0,0
2880,48.066,0,0,0,0,0,0
2886,48.166,0,0,0,0,0,0
2892,48.267,0,0,0,0,0,0
2898,48.367,0,0,0,0,0,0
2904,48.467,0,0,0,0,0,0
2910,48.567,0,0,0,0,0,0
2916,48.667,0,0,0,0,0,0
2922,48.767,0,0,0,0,0,0
2928,48.867,0,0,0,0,0,0
2934,48.968,0,0,0,0,0,0
2940,49.068,0,0,0,0,0,0
2946,49.168,0,0,0,0,0,0
2952,49.268,0,0,0,0,0,0
2958,49.368,0,0,0,0,0,0
2964,49.468,0,0,0,0,0,0
2970,49.568,0,0,0,0,0,0
2976,49.669,0,0,0,0,0,0
2982,49.769,0,0,0,0,0,0
2988,49.869,0,0,0,0,0,0
2994,49.969,0,0,0,0,0,0
3000,50.069,0,0,0,0,0,0
3006,50.169,0,0,0,0,0,0
3012,50.269,0,0,0,0,0,0
3018,50.370,0,0,0,0,0,0
3024,50.470,0,0,0,0,0,0
3030,50.570,0,0,0,0,0,0
3036,50.670,0,0,0,0,0,0
3042,50.770,0,0,0,0,0,0
3048,50.870,0,0,0,0,0,0
3054,50.970,0,0,0,0,0,0
3060,51.070,0,0,0,0,0,0
3066,51.171,0,0,0,0,0,0
3072,51.271,0,0,0,0,0,0
3078,51.371,0,0,0,0,0,0
3084,51.471,0,0,0,0,0,0
3090,51.571,0,0,0,0,0,0
3096,51.671,0,0,0,0,0,0
3102,51.771,0,0,0,0,0,0
3108,51.872,0,0,0,0,0,0
3114,51.972,0,0,0,0,0,0
3120,52.072,0,0,0,0,0,0
3126,52.172,0,0,0,0,0,0
3132,52.272,0,0,0,0,0,0
3138,52.372,0,0,0,0,0,0
3144,52.472,0,0,0,0,0,0
3150,52.573,0,0,0,0,0,0
3156,52.673,0,0,0,0,0,0
3162,52.773,0,0,0,0,0,0
3168,52.873,0,0,0,0,0,0
3174,52.973,0,0,0,0,0,0
3180,53.073,0,0,0,0,0,0
3186,53.173,0,0,0,0,0,0
3192,53.274,0,0,0,0,0,0
3198,53.374,0,0,0,0,0,0
3204,53.474,0,0,0,0,0,0
3210,53.574,0,0,0,0,0,0
3216,53.674,0,0,0,0,0,0
3222,53.774,0,0,0,0,0,0
3228,53.874,0,0,0,0,0,0
3234,53.974,0,0,0,0,0,0
3240,54.075,0,0,0,0,0,0
3246,54.175,0,0,0,0,0,0
3252,54.275,0,0,0,0,0,0
3258,54.375,0,0,0,0,0,0
3264,54.475,0,0,0,0,0,0
3270,54.575,0,0,0,0,0,0
3276,54.675,0,0,0,0,0,0
3282,54.776,0,0,0,0,0,0
3288,54.876,0,0,0,0,0,0
3294,54.976,0,0,0,0,0,0
3300,55.076,0,0,0,0,0,0
3306,55.176,0,0,0,0,0,0
3312,55.276,0,0,0,0,0,0
3318,55.376,0,0,0,0,0,0
3324,55.477,0,0,0,0,0,0
3330,55.577,0,0,0,0,0,0
3336,55.677,0,0,0,0,0,0
3342,55.777,0,0,0,0,0,0
